symbol,timestamp,open,high,low,close,volume,trade_count,vwap,SMA_50,SMA_200,RSI,ATR
TSLA,2023-01-03 05:00:00+00:00,118.47,118.8,104.64,108.1,235727017.0,2540115.0,109.133537,,,,
TSLA,2023-01-04 05:00:00+00:00,109.11,114.59,107.52,113.64,183641524.0,1652357.0,111.901725,,,100.00000000000001,
TSLA,2023-01-05 05:00:00+00:00,110.51,111.75,107.1601,110.34,160906940.0,1337246.0,109.5523,,,95.6186935740839,
TSLA,2023-01-06 05:00:00+00:00,103.0,114.39,101.81,113.06,224113076.0,2008686.0,109.418991,,,95.78270614604223,
TSLA,2023-01-09 05:00:00+00:00,118.96,123.52,117.11,119.77,194213551.0,1740778.0,121.15591,,,96.16418419619129,
TSLA,2023-01-10 05:00:00+00:00,121.07,122.76,114.92,118.85,169904675.0,1402653.0,117.800004,,,94.89671659171435,
TSLA,2023-01-11 05:00:00+00:00,122.09,125.95,120.51,123.22,187333311.0,1509958.0,122.723406,,,95.21905743355397,
TSLA,2023-01-12 05:00:00+00:00,122.56,124.1311,117.0,123.56,172269894.0,1432276.0,120.949191,,,95.24422660764299,
TSLA,2023-01-13 05:00:00+00:00,116.55,122.63,115.6,122.4,183250365.0,1424077.0,119.649314,,,93.43689602954572,
TSLA,2023-01-17 05:00:00+00:00,125.695,131.7,125.02,131.49,190097742.0,1495234.0,129.51408,,,94.3428159731443,
TSLA,2023-01-18 05:00:00+00:00,136.555,136.68,127.01,128.78,198301125.0,1541863.0,130.55768,,,90.33924895255527,
TSLA,2023-01-19 05:00:00+00:00,127.26,129.99,124.3082,127.17,172462075.0,1156276.0,127.21659,,,87.95131733829285,
TSLA,2023-01-20 05:00:00+00:00,128.68,133.51,127.3466,133.42,141903857.0,984544.0,131.047526,,,89.15027280627527,
TSLA,2023-01-23 05:00:00+00:00,135.87,145.3793,134.27,143.75,206160335.0,1479336.0,141.244828,,,90.78282254909679,8.838007142857144
TSLA,2023-01-24 05:00:00+00:00,143.0,146.5,141.1,143.89,160675460.0,1176070.0,143.548576,,,90.80302040293077,8.592435204081635
TSLA,2023-01-25 05:00:00+00:00,141.905,146.41,138.07,144.43,194770773.0,1579533.0,142.798709,,,90.8859801944229,8.574404118075805
TSLA,2023-01-26 05:00:00+00:00,159.965,161.42,154.76,160.27,238806737.0,2046130.0,157.910765,,,92.9071011179749,9.175518109641818
TSLA,2023-01-27 05:00:00+00:00,162.43,180.68,161.17,177.9,309508609.0,2617785.0,173.215931,,,94.3965338703791,9.977981101810258
TSLA,2023-01-30 05:00:00+00:00,178.05,179.77,166.5,166.66,233147806.0,2010141.0,172.064739,,,82.50169209516956,10.213125308823813
TSLA,2023-01-31 05:00:00+00:00,164.57,174.3,162.78,173.22,200228780.0,1496831.0,170.964827,,,83.78585161681082,10.306473501050684
TSLA,2023-02-01 05:00:00+00:00,173.89,183.805,169.93,181.41,216770911.0,1598180.0,175.786382,,,85.24202911886294,10.561368250975637
TSLA,2023-02-02 05:00:00+00:00,187.325,196.7501,182.61,188.27,218469998.0,1949050.0,190.725467,,,86.34799448293101,10.902706233048805
TSLA,2023-02-03 05:00:00+00:00,183.95,199.0,183.69,189.98,233445345.0,1949563.0,193.590184,,,86.61722101732016,11.217512930688176
TSLA,2023-02-06 05:00:00+00:00,193.01,198.17,189.92,194.76,190036857.0,1591560.0,194.596451,,,87.3671810955479,11.005547721353306
TSLA,2023-02-07 05:00:00+00:00,196.43,197.5,189.55,196.81,188507095.0,1547236.0,194.081991,,,87.68589809717498,10.787294312685212
TSLA,2023-02-08 05:00:00+00:00,196.1,203.0,194.31,201.29,183938354.0,1575286.0,200.337319,,,88.37608426303512,10.63748757606484
TSLA,2023-02-09 05:00:00+00:00,207.775,214.0,204.77,207.32,217933700.0,2118954.0,210.018997,,,89.24949095897901,10.785524177774494
TSLA,2023-02-10 05:00:00+00:00,202.225,206.2,192.89,196.89,206408837.0,1946430.0,197.963716,,,78.29151284215514,11.04584387936203
TSLA,2023-02-13 05:00:00+00:00,194.415,196.3,187.61,194.64,175079033.0,1522131.0,193.23918,,,76.12027245745432,10.919712173693311
TSLA,2023-02-14 05:00:00+00:00,191.94,209.82,189.44,209.25,219017952.0,1819456.0,202.035234,,,79.99906014354103,11.595447018429502
TSLA,2023-02-15 05:00:00+00:00,211.755,214.66,206.11,214.24,184506548.0,1666650.0,211.524495,,,81.12664874390143,11.377915088541679
TSLA,2023-02-16 05:00:00+00:00,210.78,217.65,201.84,202.04,232433061.0,2110975.0,211.498648,,,70.64087860256006,11.694492582217274
TSLA,2023-02-17 05:00:00+00:00,199.985,208.44,197.5,208.31,215700027.0,1824502.0,203.002686,,,72.60091969297042,11.640600254916041
